id   ,Date      ,State                    ,Total Confirmed Cases ,Total Deaths
425  ,Tue 9/7   ,Oregon                   ,289649                ,3335
426  ,Tue 9/7   ,Pennsylvania             ,1324720               ,28408
427  ,Tue 9/7   ,Puerto Rico              ,208063                ,2928
428  ,Tue 9/7   ,Rhode Island             ,164648                ,2778
429  ,Tue 9/7   ,South Carolina           ,773185                ,10972
430  ,Tue 9/7   ,South Dakota             ,134308                ,2074
431  ,Tue 9/7   ,Tennessee                ,1085109               ,13612
432  ,Tue 9/7   ,Texas                    ,3710719               ,58788
433  ,Tue 9/7   ,Utah                     ,474169                ,2685
434  ,Tue 9/7   ,Vermont                  ,29325                 ,282
435  ,Tue 9/7   ,Virgin Islands           ,6071                  ,62
436  ,Tue 9/7   ,Virginia                 ,788917                ,11947
437  ,Tue 9/7   ,Washington               ,588803                ,6797
438  ,Tue 9/7   ,West Virginia            ,200308                ,3151
439  ,Tue 9/7   ,Wisconsin                ,746781                ,8539
440  ,Tue 9/7   ,Wyoming                  ,78495                 ,879
441  ,Wed 9/8   ,Alabama                  ,732151                ,12488
442  ,Wed 9/8   ,Alaska                   ,92891                 ,439
443  ,Wed 9/8   ,Arizona                  ,1037012               ,19079
444  ,Wed 9/8   ,Arkansas                 ,467496                ,7142
445  ,Wed 9/8   ,California               ,4545832               ,66722
446  ,Wed 9/8   ,Colorado                 ,634191                ,7420
447  ,Wed 9/8   ,Connecticut              ,377682                ,8415
448  ,Wed 9/8   ,Delaware                 ,122956                ,1894
449  ,Wed 9/8   ,District of Columbia     ,56694                 ,1163
450  ,Wed 9/8   ,Florida                  ,3378772               ,46977
451  ,Wed 9/8   ,Georgia                  ,1436172               ,22639
452  ,Wed 9/8   ,Guam                     ,12788                 ,155
453  ,Wed 9/8   ,Hawaii                   ,66925                 ,623
